method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Pareto Search (Ours),25,46,175130.84664679496,98.57260896127819,5,4,9
Pareto Search (Ours),25,47,174250.25290349816,98.07696570725562,7,3,9
Pareto Search (Ours),25,48,172689.7603232328,97.19864057009859,7,1,9
Pareto Search (Ours),25,49,173628.16773311375,97.72682431631846,5,3,9
Pareto Search (Ours),25,50,173200.88757789746,97.48632916390254,7,2,9
Pareto Search (Ours),25,51,175145.88948013115,98.58107583822482,5,4,9
Metadata-Only Maximin,25,42,173815.07031885357,97.83202266287326,6,3,9
Metadata-Only Maximin,25,43,174072.78169100458,97.9770758205454,8,3,9
Metadata-Only Maximin,25,44,176119.5846870408,99.12912136370412,5,4,9
Metadata-Only Maximin,25,45,174690.22565975212,98.32460490552494,6,1,9
Metadata-Only Maximin,25,46,174072.78169100458,97.9770758205454,8,3,9
Metadata-Only Maximin,25,47,174250.25290349816,98.07696570725562,7,3,9
Metadata-Only Maximin,25,48,172461.79921173948,97.07033238263845,7,2,9
Metadata-Only Maximin,25,49,172994.57498342879,97.37020587044664,5,2,9
Metadata-Only Maximin,25,50,173200.88757789746,97.48632916390254,7,2,9
Metadata-Only Maximin,25,51,175145.88948013115,98.58107583822482,5,4,9
Latency-Only Spacing,25,42,176828.32562728866,99.52803705957122,4,4,9
Latency-Only Spacing,25,43,164323.8047544511,92.48985235455302,6,2,9
Latency-Only Spacing,25,44,164905.78931789126,92.81742307034581,8,2,9
Latency-Only Spacing,25,45,165618.90219558615,93.21879951649547,6,2,9
Latency-Only Spacing,25,46,164323.8047544511,92.48985235455302,6,2,9
Latency-Only Spacing,25,47,165582.77022915284,93.19846259546513,6,2,9
Latency-Only Spacing,25,48,164649.6288738092,92.67324285441406,5,2,9
Latency-Only Spacing,25,49,165104.03988497477,92.92900864193211,7,1,9
Latency-Only Spacing,25,50,166394.65971989013,93.65543557779543,5,2,9
Latency-Only Spacing,25,51,164323.8047544511,92.48985235455302,6,2,9
Random,25,42,168242.3785812059,94.6954263748147,5,3,9
Random,25,43,150955.6278801493,84.96555782399912,3,1,9
Random,25,44,162456.33415967438,91.43874427045368,4,2,9
Random,25,45,164420.03393141882,92.5440150632564,6,3,9
